id,1995,2000,2005,2010,2015
ABW,24556.0,32426.0,36416.0,40332.0,44192.0
AFG,3680554.0,4600987.0,3899449.0,5076549.0,5207367.0
AGO,701906.0,908919.0,730932.0,683801.0,645061.0
ALB,563094.0,891032.0,1022345.0,1157389.0,1174299.0
AND,44048.0,47021.0,54450.0,56819.0,47278.0
ARE,1874319.0,2482235.0,3281414.0,7202467.0,8114294.0
ARG,1990514.0,2011618.0,2417231.0,2701024.0,2982586.0
ARM,1555625.0,1486311.0,1328975.0,1104943.0,1107152.0
ASM,25278.0,27645.0,26518.0,25202.0,24931.0
ATG,49980.0,68923.0,76513.0,84687.0,91315.0
AUS,4463554.0,4714690.0,5246781.0,6300061.0,7192394.0
AUT,1383647.0,1470317.0,1646233.0,1828414.0,2068269.0
AZE,2053938.0,1953265.0,1746882.0,1453314.0,1408630.0
BDI,758034.0,850327.0,773736.0,496584.0,546119.0
BEL,1244572.0,1236192.0,1294784.0,1525655.0,1901385.0
BEN,361573.0,433926.0,546210.0,691956.0,823999.0
BFA,1620237.0,1720208.0,1870716.0,2019071.0,2111775.0
BGD,6131373.0,6208074.0,6704605.0,7858257.0,8379285.0
BGR,682887.0,731291.0,973333.0,1211424.0,1277396.0
BHR,230544.0,279853.0,441245.0,690956.0,750049.0
BHS,59634.0,69812.0,78886.0,88616.0,98476.0
BIH,1442055.0,1550509.0,1551644.0,1641533.0,1684878.0
BLR,2936307.0,2820623.0,2700288.0,2568785.0,2568046.0
BLZ,73337.0,82671.0,90935.0,100277.0,112322.0
BMU,58543.0,31036.0,32319.0,34086.0,35365.0
BOL,364175.0,434049.0,648360.0,898898.0,939098.0
BRA,1453671.0,1613136.0,1820978.0,2096933.0,2230389.0
BRB,108363.0,115681.0,112437.0,111442.0,118719.0
BRN,119267.0,140216.0,142136.0,145083.0,148031.0
BTN,143801.0,149835.0,155152.0,131015.0,91480.0
BWA,58613.0,74841.0,108097.0,150731.0,199504.0
CAF,125029.0,143282.0,198447.0,300108.0,494279.0
CAN,5898772.0,6629021.0,7236041.0,8229121.0,9100152.0
CHE,1648708.0,1835689.0,2202207.0,2597947.0,2956929.0
CHL,635627.0,683513.0,810761.0,933572.0,1081470.0
CHN,5243320.0,6141900.0,7739285.0,9303420.0,10357714.0
CIV,2491284.0,2487472.0,2644656.0,2800566.0,2945737.0
CMR,333621.0,344031.0,452743.0,559377.0,708010.0
